taxid,group_id,description,recommendation,penalty,type,disposition
950642,1,01.Wrongfully stopped an individual known to the Department.,A-CD,A - COMMAND DISCIPLINE,allegation,
938725,1,Out of residence while on sick leave.,,VACATION DAYS (10 day(s) ),charge,GUILTY
964575,1,01.Failed to make required entries in Activity Log.,CHARGES AND SPECIFICATIONS,"C - COMMAND DISCIPLINE, VACATION DAYS (9 day(s) )",allegation,
964575,1,02.Failed to prepare required report - medical treatment of prisoner form.,CHARGES AND SPECIFICATIONS,"C - COMMAND DISCIPLINE, VACATION DAYS (9 day(s) )",allegation,
964575,1,03.Failed to properly safeguard a prisoner.,CHARGES AND SPECIFICATIONS,"C - COMMAND DISCIPLINE, VACATION DAYS (9 day(s) )",allegation,
957715,1,WAS ABSENT FROM HIS ASSIGNMENT AND ENGAGED IN PERSONAL ACTIVITIES UNRELATED TO OFFICIAL DEPARTMENT BUSINGESS.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
957715,1,"DROVE/ALLOWED A DEPARTMENT VEHICLE TO BE USED FOR AN UNAUTHORIZED, PERSONAL PURPOSE.",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
957715,1,FAILED TO MAKE REQUIRED ACTIVITY LOG ENTRIES.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
957715,1,FAILED TO RENDER ALL NECESSARY POLICE SERVICE IN A TIMELY FASHION.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
957715,1,DISPLAYED HIS DEPARTMENT TRAFFIC VEST ON THE DASHBOARD OF HIS PRIVATE VEHICLE WHILE IT WAS IMPROPERLY PARKED ON A FIRE HYDRANT.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
954010,1,01.Improper entries in property clerk invoice,B-CD,B - COMMAND DISCIPLINE,allegation,
947112,1,"WHILE ON-DUTY, FRISKED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",,VACATION DAYS (10 day(s) ),charge,GUILTY
947112,1,"WHILE ON-DUTY, FRISKED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",,VACATION DAYS (10 day(s) ),charge,GUILTY
947112,1,"WHILE ON-DUTY, FRISKED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",,VACATION DAYS (10 day(s) ),charge,GUILTY
947112,1,SEARCHED A VEHICLE WITHOUT SUFFICIENT LEGAL AUTHORITY.,,VACATION DAYS (10 day(s) ),charge,GUILTY
947112,1,INTERFERED WITH THE USE OF RECORDING DEVICE.,,VACATION DAYS (10 day(s) ),charge,GUILTY
947112,1,SPOKE DISCOURTEOUSLY TO A PERSON KNOWN TO THE DEPARTMENT.,,VACATION DAYS (10 day(s) ),charge,GUILTY
935080,1,FAILED TO PREPARE PROPERTY CLERK INVOICE REGARDING INVESTIGATORY/ FOUND PROPERTY,,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge,GUILTY
935080,1,FAILED TO SAFEGUARD  PROPERTY,,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge,GUILTY
935080,1,FAILED TO MAINTAIN ACTIVITY LOG,,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge,GUILTY
935080,1,FAILED TO CONDUCT A PROPER INVESTIGATION,,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge,GUILTY
935080,1,INTERFERED WITH AN OFFICIAL DEPARTMENT INVESTIGATION,,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge,GUILTY
935080,1,WRONGFULLY IN POSSESSION OF AN UNAUTHORIZED  DEPARTMENT SHIELD,,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge,GUILTY
935080,1,MADE FALSE STATEMENTS DURING AN OFFICIAL DEPARTMENT INTERVIEW,,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge,GUILTY
963584,1,01.Violated patrol rules.,B-CD,,allegation,
936827,1,01.Wrongful used physical force,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
961842,1,01.Failed to activate their body worn camera.,OTHER,,allegation,
956781,1,01.Improper Frisk of an individual,TRAINING,"INSTRUCTIONS, TRAINING",allegation,
956781,1,02.Improper Investigative Encounter,TRAINING,"INSTRUCTIONS, TRAINING",allegation,
956781,1,03.Improper search of a vehicle,TRAINING,"INSTRUCTIONS, TRAINING",allegation,
956781,1,04.Interfered with recording device,INSTRUCTIONS,"INSTRUCTIONS, TRAINING",allegation,
956781,2,01.Wrongfully discourteous to an individual known to the Department.,A-CD,A - COMMAND DISCIPLINE,allegation,
956781,2,02.Wrongfully searched an individual known to the Department.,A-CD,A - COMMAND DISCIPLINE,allegation,
947783,1,WRONGFULLY OPERATED A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY THE CONSUMPTION OF ALCOHOL.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
947783,1,REFUSED TO SUBMIT TO A BREATH TEST TO DETERMINE HIS ALCOHOL COMCENTRATION.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
947783,1,CONSUMED AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
947783,1,CONSUMED AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY WHILE ARMED.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
947783,1,"WHILE OFF-DUTY, FAILED TO SAFEGUARD HIS FIREARM.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge,GUILTY
941973,1,01.Wrongfully discourteous to an individual known to the Department.,A-CD,,allegation,
956011,1,01.Wrongful removal to a hospital.,A-CD,,allegation,
945859,1,discharged a firearm outside department guidelines.,,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (28 day(s) )",charge,PLEADED GUILTY
945859,1,failed to follow proper firearm handling procedures resulting in a discharge.,,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (28 day(s) )",charge,PLEADED GUILTY
945859,2,Made misleading statements during an official Department interview.,,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (28 day(s) )",charge,PLEADED GUILTY
969832,1,01.Wrongfully questioned an individual known to the Department.,NO DISCIPLINARY ACTION,,allegation,
940320,1,"WHILE ON-DUTY, WHILE BEING INTERVIEWED AT THE CIVILIAN COMPLAINT REVIEW BOARD, DID MAKE INACCURATE AND MISLEADING STATEMENTS.",,VACATION DAYS (25 day(s) ),charge,GUILTY
949876,1,01.Failed to prepare required reports.,B-CD,,allegation,
938736,1,01.Failed to prepare memo book entries,NO DISCIPLINARY ACTION,,allegation,
960737,1,01.Violated patrol rules - refused to provide name,A-CD,A - COMMAND DISCIPLINE,allegation,
960737,2,01.Violated patrol rules - failed to provide shield number,TRAINING,TRAINING,allegation,
954011,1,"WHILE OFF-DUTY, FAILED TO SAFEGUARD HIS OFF-DUTY FIREARM",,"INSTRUCTIONS, VACATION DAYS (10 day(s) )",charge,GUILTY
951856,1,"WHILE OFF-DUTY, CONSUMED AN INTOXICANT TO THE EXTENT THAT SAID POLICE OFFICER WAS UNFIT FOR DUTY.",,VACATION DAYS (20 day(s) ),charge,GUILTY
961846,1,01.Failed to activate their body worn camera.,OTHER,,allegation,
961846,1,02.Failed to prepare required reports.,OTHER,,allegation,
961846,2,01.Wrongfully stopped a vehicle.,A-CD,,allegation,
961846,3,01.Failed to timely activate their body worn camera.,OTHER,,allegation,
961846,4,01.Violated patrol rules.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (6 day(s) )",allegation,
961846,4,01.Wrongfully frisked an individual known  to the Department.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (6 day(s) )",allegation,
961846,4,02.Wrongfully stopped an individual known to the Department.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (6 day(s) )",allegation,
968525,1,01.Failed to obtain medical treatment.,A-CD,,allegation,
928567,1,"Failed to prepare a Property Clerk's Invoice Worksheet, as required.",,VACATION DAYS (40 day(s) ),charge,GUILTY
928567,1,Failed to properly document inventory actions.,,VACATION DAYS (40 day(s) ),charge,GUILTY
928567,1,Failed to make proper notifications.,,VACATION DAYS (40 day(s) ),charge,GUILTY
928567,1,"Failed to prepare a Property Clerk's Invoice Worksheet, as required.",,VACATION DAYS (40 day(s) ),charge,GUILTY
928567,1,Failed to make required entries in Department Logs.,,VACATION DAYS (40 day(s) ),charge,GUILTY
938740,1,WRONGFULLY ASSOCIATED WITH AN INDIVIDUAL KNOWN TO THE DEPARTMENT WHO ENGAGED IN CRIMINAL ACTIVITIES .,,VACATION DAYS (20 day(s) ),charge,GUILTY
967563,1,01.Failed to activate their body worn camera.,OTHER,,allegation,
949153,1,FAILED TO PROPERLY HANDLE HIS FIREARM RESULTING IN ITS ACCIDENTAL DISCHARGE.,,VACATION DAYS (15 day(s) ),charge,GUILTY
949153,1,FAILED TO MAKE PROPER NOTIFICATIONS AFTER ACCIDENTALLY DISCHARGING HIS FIREARM.,,VACATION DAYS (15 day(s) ),charge,GUILTY
959719,1,"WHILE ON-DUTY,  FAILED TO ENSURE THAT THE CHILD SAFETY LOCKS WERE ENGAGED ON THE REAR DOORS OF HIS ASSIGNED DEPARTMENT VEHICLE, RESULTING IN THE ESCAPE OF A DEPARTMENT PRISONER",,VACATION DAYS (10 day(s) ),charge,GUILTY
954987,1,"WHILE OFF-DUTY, WRONGFULLY OPERATED A MOTOR VEHICLE WHILE UNDER THE INFLUENCE OF AN INTOXICANT.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge,GUILTY
954987,1,WRONGFULLY OPERATED A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY THE CONSUMPTION OF ALCOHOL.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge,GUILTY
954987,1,"WHILE OFF-DUTY, REFUSED TO SUBMIT TO A CHEMICAL BREATH TEST.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge,GUILTY
954987,1,CONSUMED AN INTOXICANT TO THE EXTENT HE WAS UNFIT FOR DUTY.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge,GUILTY
936834,1,01.Wrongfully discourteous to an individual known to the Department.,CHARGES AND SPECIFICATIONS,,allegation,
936834,1,01.Wrongfully used physical force.,CHARGES AND SPECIFICATIONS,,allegation,
936834,1,02.Wrongfully used offensive language.,CHARGES AND SPECIFICATIONS,,allegation,
962515,1,01.Wrongfully discourteous to an individual known to the Department.,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (8 day(s) )",allegation,
962515,1,01.Wrongfully made discourteous gesture.,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (8 day(s) )",allegation,
962515,1,02.Wrongfully used physical force.,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (8 day(s) )",allegation,
962515,2,01.Failed to prepare required reports.,OTHER,,allegation,
962515,3,01.Wrongfully discourteous to an individual known to the Department.,A-CD,A - COMMAND DISCIPLINE,allegation,
962515,4,01.Made inaccurate statements to ADA.,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
962515,5,01.Failed to activate their body-worn camera.,B-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (10 day(s) )",allegation,
962515,5,02.Failed to make required entries in Department Logs (Activity Log),B-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (10 day(s) )",allegation,
962515,5,03.Improper vehicle pursuit.,B-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (10 day(s) )",allegation,
962515,6,01.Wrongfully frisked an individual known to the Department.,NO DISCIPLINARY ACTION,"B - COMMAND DISCIPLINE, VACATION DAYS (3 day(s) )",allegation,
962515,6,02.Wrongfully searched a vehicle.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (3 day(s) )",allegation,
951858,1,01.Made computer inquiries unrelated to official Department business.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
928571,1,WRONGFULLY CAUSED FALSE DEPARTMENT RECORDS TO BE GENERATED,,VACATION DAYS (30 day(s) ),charge,GUILTY
961850,1,01.Violated patrol rules.,A-CD,,allegation,
961850,1,01.Wrongfully discourteous to an individual known to the Department.,A-CD,,allegation,
961850,2,01.Wrongfully used offensive language.,B-CD,,allegation,
937826,1,"WHILE OFF-DUTY, ENGAGED IN A PHYSICAL ALTERCATION.",,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge,GUILTY
937826,1,ENGAGED IN A PHYSICAL ALTERCATION IN THE PRESENCE OF A MINOR.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge,GUILTY
937826,2,Made disparaging remark ( race),,,charge,PLEADED GUILTY
946503,1,Failed to safeguard a prisoner resulting is loss,,"PRE-TRIAL SUSPENSION DAYS (11 day(s) ), VACATION DAYS (12 day(s) )",charge,GUILTY
946503,1,Failed to activate their body-worn camera.,,"PRE-TRIAL SUSPENSION DAYS (11 day(s) ), VACATION DAYS (12 day(s) )",charge,GUILTY
960743,1,01.Violated patrol rules.,A-CD,A - COMMAND DISCIPLINE,allegation,
960744,1,Failed to make proper notifications.,,VACATION DAYS (10 day(s) ),charge,PLEADED GUILTY
950661,1,01.Wrongfully threatened to arrest an individual known to the Department.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
936843,1,"DID KNOWINGLY ASSOCIATE WITH PERSONS OR ORGANIZATIONS REASONABLY BELIEVED TO ENGAGED IN, LIKELY TO ENGAGE IN, OR TO HAVE ENGAGED IN CRIMINAL ACTIVITIES.",,VACATION DAYS (25 day(s) ),charge,GUILTY
936843,1,DID WRONGFULLY AND WITHOUT JUST CAUSE ENGAGE IN OFF-DUTY EMPLOYMENT WITHOUT AUTHORITY OR PERMISSION TO DO SO.,,VACATION DAYS (25 day(s) ),charge,GUILTY
936843,1,DID WRONGFULLY AND WITHOUT JUST CAUSE UTILIZE DEPARTMENT DATABASES TO MAKE INQUIRIES UNRELATED TO THE OFFICIAL BUSINESS OF THE DEPARTMENT OR THE CITY OF NEW YORK.,,VACATION DAYS (25 day(s) ),charge,GUILTY
936843,1,"DID FAIL AND NEGLECT TO PROVIDE SAID OFFICER's COMMANDING OFFICER WITH AN OPERABLE PERSONAL TELEPHONE NUMBER, AS REQUIRED.",,VACATION DAYS (25 day(s) ),charge,GUILTY
960745,1,01.Violated patrol rules.,A-CD,A - COMMAND DISCIPLINE,allegation,
960746,1,01.Violated patrol rules - refused to provide name,A-CD,A - COMMAND DISCIPLINE,allegation,
954016,1,OPERATED A MOTOR VEHICLE WHILE HIS BLOOD ALCOHOL CONTENT WAS OVER THE LEGAL LIMIT.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (10 day(s) )",charge,GUILTY
954016,1,OPERATED A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY THE CONSUMPTION OF ALCOHOL.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (10 day(s) )",charge,GUILTY
954016,1,CONSUMED AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (10 day(s) )",charge,GUILTY
966655,1,01.Failed to timely activate their body worn camera.,A-CD,,allegation,
945872,1,Failed to safeguard a firearm (resulting in loss/theft or not).,,VACATION DAYS (30 day(s) ),charge,PLEADED GUILTY
945872,1,Failed to timely make proper notifications.,,VACATION DAYS (30 day(s) ),charge,PLEADED GUILTY
940328,1,01.Improper Search,TRAINING,TRAINING,allegation,
950663,1,"FAILED AND NEGLECTED TO PROPERLY SAFEGUARD HIS OFF-DUTY FIREARM, TO WIT: PLACED SAID FIREARM IN THE SMALL FRONT COMPARTMENT OF OFFICER's BACKPACK, RESULTING IN ITS LOSS.",,VACATION DAYS (23 day(s) ),charge,GUILTY
950663,1,"UPON BECOMING AWARE THAT HIS OFF-DUTY FIREARM WAS MISSING, FAILED AND NEGLECTED TO TIMELY REPORTTHE LOSS OF THE OFF-DUTY FIREARM.",,VACATION DAYS (23 day(s) ),charge,GUILTY
935093,1,01.Wrongfully discourteous to an individual known to the Department.,A-CD,,allegation,
935093,2,01.Failed to make required entries in Department Logs.,OTHER,,allegation,
935093,3,01.Failed to activate their body worn camera.,A-CD,"A - COMMAND DISCIPLINE, FORFEITURE OF TIME/LEAVE BALANCES",allegation,
935093,4,01.Failed to make required entries in Department Logs.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
935093,4,02.Failed to take police action,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
967138,1,01.Failed to make required entries in Department Logs.,OTHER,,allegation,
967138,2,01.Failed to timely activate body worn camera.,OTHER,,allegation,
967138,3,01.Violated patrol rules - failed to provide a business card,A-CD,A - COMMAND DISCIPLINE,allegation,
943429,1,"WHILE ON DUTY, HE USED A DEPARTMENT BATTERING RAM IN THE EXECUTION OF A PRACTICAL JOKE.",,VACATION DAYS (45 day(s) ),charge,PLEADED GUILTY
943429,1,"WHILE ON-DUTY,  AS RESULT OF A PRACTICAL JOKE HE CONDUCTED, CAUSED DAMAGE TO A BATHROOM DOOR LOCATED INSIDE OF A DEPARTMENT FACILITY.",,VACATION DAYS (45 day(s) ),charge,PLEADED GUILTY
943429,2,USED HIS PERSONAL VIDEO CAMERA TO RECORD THE EXECUTION OF A SEARCH WARRANT AND DID NOT HAVE THE PERMISSION OR AUTHORITY OF THE DEPARTMENT TO DO SO.,,VACATION DAYS (45 day(s) ),charge,PLEADED GUILTY
943429,2,FAILED TO DISCLOSE AND PROVIDE A COPY OF VIDEO RECORDINGS HE MADE OF THE EXECUTION OF SEARCH WARRANTS TO THE OFFICE OF THE DISTRICT ATTORNEY.,,VACATION DAYS (45 day(s) ),charge,PLEADED GUILTY
943429,3,FRISKED AN INDIVIDUAL WITHOUT SUFFICIENT LEGAL AUTHORITY.,,VACATION DAYS (3 day(s) ),charge,GUILTY
963087,1,01.Wrongfully threatened to remove an individual to the hospital.,B-CD,,allegation,
924014,1,IMPROPERLY SUPERVISED A VEHICLE PURSUIT,,VACATION DAYS (5 day(s) ),charge,GUILTY
954994,1,ABUSED HIS AUTHORITY IN THAT HE STOPPED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.,,VACATION DAYS (18 day(s) ),charge,GUILTY
954994,1,WRONGFULLY USED FORCE IN THAT HE USED PHYSICAL FORCE BY PUNCHING A PERSON KNOWN TO THE DEPARTMENT ABOUT THE FACE WITHOUT POLICE NECCESSITY.,,VACATION DAYS (18 day(s) ),charge,GUILTY
954994,1,01.Violated patrol rules - refused to provide a business card,CHARGES AND SPECIFICATIONS,"A - COMMAND DISCIPLINE, VACATION DAYS (3 day(s) )",allegation,
954994,1,02.Violated patrol rules - refused to provide shield number,CHARGES AND SPECIFICATIONS,"A - COMMAND DISCIPLINE, VACATION DAYS (3 day(s) )",allegation,
954994,1,03.Wrongfully stopped an individual known to the Department.,CHARGES AND SPECIFICATIONS,"A - COMMAND DISCIPLINE, VACATION DAYS (3 day(s) )",allegation,
954994,2,01.Failed to activate their body worn camera.,OTHER,,allegation,
954994,2,02.Failed to make required entries in Department Logs.,OTHER,,allegation,
954994,2,03.Failed to prepare required reports.,OTHER,,allegation,
954994,3,01.Failed to make required entries in Department Logs.,OTHER,,allegation,
935098,1,Failed to safeguard a firearm.,,VACATION DAYS (20 day(s) ),charge,GUILTY
962518,1,01.Wrongfully discourteous to an individual known to the Department.,A-CD,,allegation,
945876,1,01.Violated patrol rules - failed to provide a business card,TRAINING,TRAINING,allegation,
940331,1,FAILED TO PROVIDE HIS SHIELD NUMBER WHEN REQUESTED TO DO SO BY A PERSON KNOWN TO THE DEPARTMENT.,,VACATION DAYS (1 day(s) ),charge,GUILTY
949158,1,Wrongful used physical force.,,"SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (10 day(s) )",charge,GUILTY
933751,1,WRONGFULLY AND WITHOUT JUST CAUSE WAS ABSENT FROM  ASSIGNED DUTIES,,VACATION DAYS (15 day(s) ),charge,GUILTY
933751,1,WRONGFULLY UTILIZED A DEPARTMENT VEHICLE WITHOUT PERMISSION,,VACATION DAYS (15 day(s) ),charge,GUILTY
959724,1,01.Failed to activate their body worn camera.,OTHER,,allegation,
959724,1,02.Failed to make required entries in Department Logs.,OTHER,,allegation,
963589,1,01.Improper search,INSTRUCTIONS,INSTRUCTIONS,allegation,
884130,1,Made computer inquiries unrelated to official Department business.,,VACATION DAYS (5 day(s) ),charge,PLEADED GUILTY
936849,1,possession of a forged instrument.,,"DISMISSAL PROBATION (12 month(s) ), RESTITUTION ($500), VACATION DAYS (60 day(s) )",charge,PLEADED GUILTY
936849,1,submission of a forged instrument.,,"DISMISSAL PROBATION (12 month(s) ), RESTITUTION ($500), VACATION DAYS (60 day(s) )",charge,PLEADED GUILTY
960753,1,01.Violated patrol rules - failed to provide a business card,A-CD,A - COMMAND DISCIPLINE,allegation,
960753,1,02.Violated patrol rules.,A-CD,A - COMMAND DISCIPLINE,allegation,
967566,1,01.Failed to activate their body worn camera.,OTHER,,allegation,
956793,1,WHILE OFF-DUTY WRONGFULLY CONSUMED AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge,GUILTY
956793,1,WHILE OFF-DUTY WRONGFULLY CONSUMED AN INTOXICANT TO THE EXTENT THAT SAID POLICE OFFICER WAS UNFIT FOR DUTY WHILE ARMED.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge,GUILTY
956793,1,WHILE OFF-DUTY FAILED AND NEGLECTED TO PROPERLY SAFEGUARD HIS FIREARM.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge,GUILTY
960754,1,01.Violated patrol rules.,B-CD,,allegation,
960754,1,02.Wrongfully discourteous.,B-CD,,allegation,
962519,1,01.Violated patrol rules - refused to provide name,A-CD,A - COMMAND DISCIPLINE,allegation,
959726,1,01.Failed to make required entries in Department Logs.,OTHER,,allegation,
959726,2,01.Violated patrol rules - failed to provide name,TRAINING,"A - COMMAND DISCIPLINE, VACATION DAYS (1 day(s) )",allegation,
958750,1,01.Wrongfully discourteous to an individual known to the Department.,A-CD,,allegation,
958750,2,01.Failed to follow proper firearm handling procedures resulting in a discharge,C-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (15 day(s) )",allegation,
921461,1,01.Violated patrol rules.,A-CD,,allegation,
956794,1,Violated Department of Motor Vehicles rules.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge,PLEADED GUILTY
956794,1,Violated Department of Motor Vehicles rules.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge,PLEADED GUILTY
956794,2,Made computer inquiries unrelated to official Department business.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge,PLEADED GUILTY
956794,2,Made or caused to be made false or inaccurate entries in Department records.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge,PLEADED GUILTY
956794,2,Violated paid detail rules.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge,PLEADED GUILTY
956794,2,Failed to make required entries in Department Logs - Activity Log.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge,PLEADED GUILTY
938764,1,01.Computer misuse.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (2 day(s) )",allegation,
938764,1,02.Improper license cover plate on personal vehicle.,B-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (2 day(s) )",allegation,
960756,1,01.Wrongfully used physical force.,B-CD,TRAINING,allegation,
960756,2,01.Wrongfully discourteous to an individual known to the Department.,A-CD,"B - COMMAND DISCIPLINE, VACATION DAYS (1 day(s) )",allegation,
944699,1,"SAID DETECTIVE, WAS LATE TO, WAS ABSENT FROM, OR LEFT EARLY FROM HIS ASSIGNMENT, WITHOUT PERMISSION OR POLICE NECESSITY, ON APPROXIMATELY TWENTY-FOUR (24) OCCASIONS",,"DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($216), VACATION DAYS (20 day(s) )",charge,GUILTY
944699,1,"SAID DETECTIVE, ON APPROXIMATELY THIRTY-FIVE (35) OCCASIONS, WRONGFULLY MADE INACCURATE ENTRIES IN DEPARTMENT RECORDS",,"DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($216), VACATION DAYS (20 day(s) )",charge,GUILTY
